bib,fullname,sex,age,category,country_code,club,utmb_index,rank_scratch,rank_sex,rank_cat,race_time,diff_to_first,is_finisher,status,start_time,profile_url,race_time_seconds,total_rest_time,total_rest_time_seconds,n_passings
356,Pamela NIEVAS,F,44,40-44W,AR,OSKY TEAM,613,615,91,16,35:42:42,17:26:13,TRUE,f,2026-08-28T17:48:12.000Z,https://utmb.world/runner/2480375.pamela.nievas,128562.01,1:00:25,3625.1,27
915,Michael GEORGET,H,49,45-49M,FR,Dragons de la Forge/JCR,626,616,525,75,35:42:53,17:26:24,TRUE,f,2026-08-28T17:50:42.080Z,https://utmb.world/runner/3883675.michael.georget,128573.56,1:05:46,3946.06,27
1071,Frédéric PIQUET,H,41,40-44M,FR,sas Indukraft,601,617,526,122,35:43:14,17:26:45,TRUE,f,2026-08-28T17:49:14.060Z,https://utmb.world/runner/4327294.frederic.piquet,128594.76,2:24:59,8698.81,27
918,Andres SÁNCHEZ PEREZ,H,39,35-39M,ES,CD montaña Vergara,625,618,527,130,35:44:14,17:27:45,TRUE,f,2026-08-28T17:50:11.230Z,https://utmb.world/runner/4387816.andres.sanchezperez,128654.67,2:49:06,10145.93,27
976,Benoit LEROY,H,31,20-34M,FR,Duc Army,616,619,528,154,35:44:25,17:27:56,TRUE,f,2026-08-28T17:49:42.430Z,https://utmb.world/runner/2320407.benoit.leroy,128664.62,3:29:15,12554.56,27
1582,Pierre CARRIÉ,H,45,45-49M,FR,-,537,620,529,76,35:45:20,17:28:51,TRUE,f,2026-08-28T17:49:59.040Z,https://utmb.world/runner/3207179.pierre.carrie,128720.25,3:29:40,12580.229999999998,27
1196,Nicolas BECK,H,31,20-34M,DE,Running-Point Germany,585,621,530,155,35:45:35,17:29:06,TRUE,f,2026-08-28T17:49:58.010Z,https://utmb.world/runner/3235543.nicolas.beck,128735.53,2:42:13,9733.05,27
1041,Lorenzo MORSIANI,H,32,20-34M,IT,MyPace,608,622,531,156,35:46:11,17:29:42,TRUE,f,2026-08-28T17:49:55.700Z,https://utmb.world/runner/4833388.lorenzo.morsiani,128770.68,1:52:22,6742.469999999999,27
1255,Jeremy DESPREAUX,H,47,45-49M,FR,KIPRUN,577,623,532,77,35:46:35,17:30:06,TRUE,f,2026-08-28T17:48:52.870Z,https://utmb.world/runner/656288.jeremy.despreaux,128794.88,1:21:37,4896.610000000001,27
768,Jonas SIBER,H,37,35-39M,FR,NA,658,624,533,131,35:49:08,17:32:39,TRUE,f,2026-08-28T17:50:44.400Z,https://utmb.world/runner/435822.jonas.siber,128948.41,2:11:40,7900.4000000000015,27
